hour,traffic_type,lower_limit,vehs_per_hour,upper_limit
0:00,1,76,113,150
1:00,0,0,38,75
2:00,0,0,38,75
3:00,0,0,38,75
4:00,0,0,38,75
5:00,1,76,113,150
6:00,1,76,113,150
7:00,2,151,201,250
8:00,4,451,726,1000
9:00,3,251,351,450
10:00,3,251,351,450
11:00,3,251,351,450
12:00,3,251,351,450
13:00,3,251,351,450
14:00,4,451,726,1000
15:00,4,451,726,1000
16:00,3,251,351,450
17:00,3,251,351,450
18:00,3,251,351,450
19:00,4,451,726,1000
20:00,4,451,726,1000
21:00,2,151,201,250
22:00,2,151,201,250
23:00,1,76,113,150