date_year,date_month,date_day,hour,turn_right,turn_left,turn_forward,road
2021,1,1,0:00,0.20,0.20,0.60,all
2021,1,1,0:30,0.20,0.20,0.60,all
2021,1,1,1:00,0.20,0.20,0.60,all
2021,1,1,1:30,0.20,0.20,0.60,all
2021,1,1,2:00,0.20,0.20,0.60,all
2021,1,1,2:30,0.20,0.20,0.60,all
2021,1,1,3:00,0.20,0.20,0.60,all
2021,1,1,3:30,0.20,0.20,0.60,all
2021,1,1,4:00,0.20,0.20,0.60,all
2021,1,1,4:30,0.20,0.20,0.60,all
2021,1,1,5:00,0.20,0.20,0.60,all
2021,1,1,5:30,0.20,0.20,0.60,all
2021,1,1,6:00,0.20,0.20,0.60,all
2021,1,1,6:30,0.20,0.20,0.60,all
2021,1,1,7:00,0.20,0.20,0.60,all
2021,1,1,7:30,0.20,0.20,0.60,all
2021,1,1,8:00,0.20,0.20,0.60,all
2021,1,1,8:30,0.20,0.20,0.60,all
2021,1,1,9:00,0.20,0.20,0.60,all
2021,1,1,9:30,0.20,0.20,0.60,all
2021,1,1,10:00,0.20,0.20,0.60,all
2021,1,1,10:30,0.20,0.20,0.60,all
2021,1,1,11:00,0.20,0.20,0.60,all
2021,1,1,11:30,0.20,0.20,0.60,all
2021,1,1,12:00,0.20,0.20,0.60,all
2021,1,1,12:30,0.20,0.20,0.60,all
2021,1,1,13:00,0.20,0.20,0.60,all
2021,1,1,13:30,0.20,0.20,0.60,all
2021,1,1,14:00,0.20,0.20,0.60,all
2021,1,1,14:30,0.20,0.20,0.60,all
2021,1,1,15:00,0.20,0.20,0.60,all
2021,1,1,15:30,0.20,0.20,0.60,all
2021,1,1,16:00,0.20,0.20,0.60,all
2021,1,1,16:30,0.20,0.20,0.60,all
2021,1,1,17:00,0.20,0.20,0.60,all
2021,1,1,17:30,0.20,0.20,0.60,all
2021,1,1,18:00,0.20,0.20,0.60,all
2021,1,1,18:30,0.20,0.20,0.60,all
2021,1,1,19:00,0.20,0.20,0.60,all
2021,1,1,19:30,0.20,0.20,0.60,all
2021,1,1,20:00,0.20,0.20,0.60,all
2021,1,1,20:30,0.20,0.20,0.60,all
2021,1,1,21:00,0.20,0.20,0.60,all
2021,1,1,21:30,0.20,0.20,0.60,all
2021,1,1,22:00,0.20,0.20,0.60,all
2021,1,1,22:30,0.20,0.20,0.60,all
2021,1,1,23:00,0.20,0.20,0.60,all
2021,1,1,23:30,0.20,0.20,0.60,all
2021,1,2,0:00,0.20,0.20,0.60,all
2021,1,2,0:30,0.20,0.20,0.60,all
2021,1,2,1:00,0.20,0.20,0.60,all
2021,1,2,1:30,0.20,0.20,0.60,all
2021,1,2,2:00,0.20,0.20,0.60,all
2021,1,2,2:30,0.20,0.20,0.60,all
2021,1,2,3:00,0.20,0.20,0.60,all
2021,1,2,3:30,0.20,0.20,0.60,all
2021,1,2,4:00,0.20,0.20,0.60,all
2021,1,2,4:30,0.20,0.20,0.60,all
2021,1,2,5:00,0.20,0.20,0.60,all
2021,1,2,5:30,0.20,0.20,0.60,all
2021,1,2,6:00,0.20,0.20,0.60,all
2021,1,2,6:30,0.20,0.20,0.60,all
2021,1,2,7:00,0.20,0.20,0.60,all
2021,1,2,7:30,0.20,0.20,0.60,all
2021,1,2,8:00,0.20,0.20,0.60,all
2021,1,2,8:30,0.20,0.20,0.60,all
2021,1,2,9:00,0.20,0.20,0.60,all
2021,1,2,9:30,0.20,0.20,0.60,all
2021,1,2,10:00,0.20,0.20,0.60,all
2021,1,2,10:30,0.20,0.20,0.60,all
2021,1,2,11:00,0.20,0.20,0.60,all
2021,1,2,11:30,0.20,0.20,0.60,all
2021,1,2,12:00,0.20,0.20,0.60,all
2021,1,2,12:30,0.20,0.20,0.60,all
2021,1,2,13:00,0.20,0.20,0.60,all
2021,1,2,13:30,0.20,0.20,0.60,all
2021,1,2,14:00,0.20,0.20,0.60,all
2021,1,2,14:30,0.20,0.20,0.60,all
2021,1,2,15:00,0.20,0.20,0.60,all
2021,1,2,15:30,0.20,0.20,0.60,all
2021,1,2,16:00,0.20,0.20,0.60,all
2021,1,2,16:30,0.20,0.20,0.60,all
2021,1,2,17:00,0.20,0.20,0.60,all
2021,1,2,17:30,0.20,0.20,0.60,all
2021,1,2,18:00,0.20,0.20,0.60,all
2021,1,2,18:30,0.20,0.20,0.60,all
2021,1,2,19:00,0.20,0.20,0.60,all
2021,1,2,19:30,0.20,0.20,0.60,all
2021,1,2,20:00,0.20,0.20,0.60,all
2021,1,2,20:30,0.20,0.20,0.60,all
2021,1,2,21:00,0.20,0.20,0.60,all
2021,1,2,21:30,0.20,0.20,0.60,all
2021,1,2,22:00,0.20,0.20,0.60,all
2021,1,2,22:30,0.20,0.20,0.60,all
2021,1,2,23:00,0.20,0.20,0.60,all
2021,1,2,23:30,0.20,0.20,0.60,all
2021,1,3,0:00,0.20,0.20,0.60,all
2021,1,3,0:30,0.20,0.20,0.60,all
2021,1,3,1:00,0.20,0.20,0.60,all
2021,1,3,1:30,0.20,0.20,0.60,all
2021,1,3,2:00,0.20,0.20,0.60,all
2021,1,3,2:30,0.20,0.20,0.60,all
2021,1,3,3:00,0.20,0.20,0.60,all
2021,1,3,3:30,0.20,0.20,0.60,all
2021,1,3,4:00,0.20,0.20,0.60,all
2021,1,3,4:30,0.20,0.20,0.60,all
2021,1,3,5:00,0.20,0.20,0.60,all
2021,1,3,5:30,0.20,0.20,0.60,all
2021,1,3,6:00,0.20,0.20,0.60,all
2021,1,3,6:30,0.20,0.20,0.60,all
2021,1,3,7:00,0.20,0.20,0.60,all
2021,1,3,7:30,0.20,0.20,0.60,all
2021,1,3,8:00,0.20,0.20,0.60,all
2021,1,3,8:30,0.20,0.20,0.60,all
2021,1,3,9:00,0.20,0.20,0.60,all
2021,1,3,9:30,0.20,0.20,0.60,all
2021,1,3,10:00,0.20,0.20,0.60,all
2021,1,3,10:30,0.20,0.20,0.60,all
2021,1,3,11:00,0.20,0.20,0.60,all
2021,1,3,11:30,0.20,0.20,0.60,all
2021,1,3,12:00,0.20,0.20,0.60,all
2021,1,3,12:30,0.20,0.20,0.60,all
2021,1,3,13:00,0.20,0.20,0.60,all
2021,1,3,13:30,0.20,0.20,0.60,all
2021,1,3,14:00,0.20,0.20,0.60,all
2021,1,3,14:30,0.20,0.20,0.60,all
2021,1,3,15:00,0.20,0.20,0.60,all
2021,1,3,15:30,0.20,0.20,0.60,all
2021,1,3,16:00,0.20,0.20,0.60,all
2021,1,3,16:30,0.20,0.20,0.60,all
2021,1,3,17:00,0.20,0.20,0.60,all
2021,1,3,17:30,0.20,0.20,0.60,all
2021,1,3,18:00,0.20,0.20,0.60,all
2021,1,3,18:30,0.20,0.20,0.60,all
2021,1,3,19:00,0.20,0.20,0.60,all
2021,1,3,19:30,0.20,0.20,0.60,all
2021,1,3,20:00,0.20,0.20,0.60,all
2021,1,3,20:30,0.20,0.20,0.60,all
2021,1,3,21:00,0.20,0.20,0.60,all
2021,1,3,21:30,0.20,0.20,0.60,all
2021,1,3,22:00,0.20,0.20,0.60,all
2021,1,3,22:30,0.20,0.20,0.60,all
2021,1,3,23:00,0.20,0.20,0.60,all
2021,1,3,23:30,0.20,0.20,0.60,all
2021,1,4,0:00,0.20,0.20,0.60,all
2021,1,4,0:30,0.20,0.20,0.60,all
2021,1,4,1:00,0.20,0.20,0.60,all
2021,1,4,1:30,0.20,0.20,0.60,all
2021,1,4,2:00,0.20,0.20,0.60,all
2021,1,4,2:30,0.20,0.20,0.60,all
2021,1,4,3:00,0.20,0.20,0.60,all
2021,1,4,3:30,0.20,0.20,0.60,all
2021,1,4,4:00,0.20,0.20,0.60,all
2021,1,4,4:30,0.20,0.20,0.60,all
2021,1,4,5:00,0.20,0.20,0.60,all
2021,1,4,5:30,0.20,0.20,0.60,all
2021,1,4,6:00,0.20,0.20,0.60,all
2021,1,4,6:30,0.20,0.20,0.60,all
2021,1,4,7:00,0.20,0.20,0.60,all
2021,1,4,7:30,0.20,0.20,0.60,all
2021,1,4,8:00,0.20,0.20,0.60,all
2021,1,4,8:30,0.20,0.20,0.60,all
2021,1,4,9:00,0.20,0.20,0.60,all
2021,1,4,9:30,0.20,0.20,0.60,all
2021,1,4,10:00,0.20,0.20,0.60,all
2021,1,4,10:30,0.20,0.20,0.60,all
2021,1,4,11:00,0.20,0.20,0.60,all
2021,1,4,11:30,0.20,0.20,0.60,all
2021,1,4,12:00,0.20,0.20,0.60,all
2021,1,4,12:30,0.20,0.20,0.60,all
2021,1,4,13:00,0.20,0.20,0.60,all
2021,1,4,13:30,0.20,0.20,0.60,all
2021,1,4,14:00,0.20,0.20,0.60,all
2021,1,4,14:30,0.20,0.20,0.60,all
2021,1,4,15:00,0.20,0.20,0.60,all
2021,1,4,15:30,0.20,0.20,0.60,all
2021,1,4,16:00,0.20,0.20,0.60,all
2021,1,4,16:30,0.20,0.20,0.60,all
2021,1,4,17:00,0.20,0.20,0.60,all
2021,1,4,17:30,0.20,0.20,0.60,all
2021,1,4,18:00,0.20,0.20,0.60,all
2021,1,4,18:30,0.20,0.20,0.60,all
2021,1,4,19:00,0.20,0.20,0.60,all
2021,1,4,19:30,0.20,0.20,0.60,all
2021,1,4,20:00,0.20,0.20,0.60,all
2021,1,4,20:30,0.20,0.20,0.60,all
2021,1,4,21:00,0.20,0.20,0.60,all
2021,1,4,21:30,0.20,0.20,0.60,all
2021,1,4,22:00,0.20,0.20,0.60,all
2021,1,4,22:30,0.20,0.20,0.60,all
2021,1,4,23:00,0.20,0.20,0.60,all
2021,1,4,23:30,0.20,0.20,0.60,all
2021,1,5,0:00,0.20,0.20,0.60,all
2021,1,5,0:30,0.20,0.20,0.60,all
2021,1,5,1:00,0.20,0.20,0.60,all
2021,1,5,1:30,0.20,0.20,0.60,all
2021,1,5,2:00,0.20,0.20,0.60,all
2021,1,5,2:30,0.20,0.20,0.60,all
2021,1,5,3:00,0.20,0.20,0.60,all
2021,1,5,3:30,0.20,0.20,0.60,all
2021,1,5,4:00,0.20,0.20,0.60,all
2021,1,5,4:30,0.20,0.20,0.60,all
2021,1,5,5:00,0.20,0.20,0.60,all
2021,1,5,5:30,0.20,0.20,0.60,all
2021,1,5,6:00,0.20,0.20,0.60,all
2021,1,5,6:30,0.20,0.20,0.60,all
2021,1,5,7:00,0.20,0.20,0.60,all
2021,1,5,7:30,0.20,0.20,0.60,all
2021,1,5,8:00,0.20,0.20,0.60,all
2021,1,5,8:30,0.20,0.20,0.60,all
2021,1,5,9:00,0.20,0.20,0.60,all
2021,1,5,9:30,0.20,0.20,0.60,all
2021,1,5,10:00,0.20,0.20,0.60,all
2021,1,5,10:30,0.20,0.20,0.60,all
2021,1,5,11:00,0.20,0.20,0.60,all
2021,1,5,11:30,0.20,0.20,0.60,all
2021,1,5,12:00,0.20,0.20,0.60,all
2021,1,5,12:30,0.20,0.20,0.60,all
2021,1,5,13:00,0.20,0.20,0.60,all
2021,1,5,13:30,0.20,0.20,0.60,all
2021,1,5,14:00,0.20,0.20,0.60,all
2021,1,5,14:30,0.20,0.20,0.60,all
2021,1,5,15:00,0.20,0.20,0.60,all
2021,1,5,15:30,0.20,0.20,0.60,all
2021,1,5,16:00,0.20,0.20,0.60,all
2021,1,5,16:30,0.20,0.20,0.60,all
2021,1,5,17:00,0.20,0.20,0.60,all
2021,1,5,17:30,0.20,0.20,0.60,all
2021,1,5,18:00,0.20,0.20,0.60,all
2021,1,5,18:30,0.20,0.20,0.60,all
2021,1,5,19:00,0.20,0.20,0.60,all
2021,1,5,19:30,0.20,0.20,0.60,all
2021,1,5,20:00,0.20,0.20,0.60,all
2021,1,5,20:30,0.20,0.20,0.60,all
2021,1,5,21:00,0.20,0.20,0.60,all
2021,1,5,21:30,0.20,0.20,0.60,all
2021,1,5,22:00,0.20,0.20,0.60,all
2021,1,5,22:30,0.20,0.20,0.60,all
2021,1,5,23:00,0.20,0.20,0.60,all
2021,1,5,23:30,0.20,0.20,0.60,all
2021,1,6,0:00,0.20,0.20,0.60,all
2021,1,6,0:30,0.20,0.20,0.60,all
2021,1,6,1:00,0.20,0.20,0.60,all
2021,1,6,1:30,0.20,0.20,0.60,all
2021,1,6,2:00,0.20,0.20,0.60,all
2021,1,6,2:30,0.20,0.20,0.60,all
2021,1,6,3:00,0.20,0.20,0.60,all
2021,1,6,3:30,0.20,0.20,0.60,all
2021,1,6,4:00,0.20,0.20,0.60,all
2021,1,6,4:30,0.20,0.20,0.60,all
2021,1,6,5:00,0.20,0.20,0.60,all
2021,1,6,5:30,0.20,0.20,0.60,all
2021,1,6,6:00,0.20,0.20,0.60,all
2021,1,6,6:30,0.20,0.20,0.60,all
2021,1,6,7:00,0.20,0.20,0.60,all
2021,1,6,7:30,0.20,0.20,0.60,all
2021,1,6,8:00,0.20,0.20,0.60,all
2021,1,6,8:30,0.20,0.20,0.60,all
2021,1,6,9:00,0.20,0.20,0.60,all
2021,1,6,9:30,0.20,0.20,0.60,all
2021,1,6,10:00,0.20,0.20,0.60,all
2021,1,6,10:30,0.20,0.20,0.60,all
2021,1,6,11:00,0.20,0.20,0.60,all
2021,1,6,11:30,0.20,0.20,0.60,all
2021,1,6,12:00,0.20,0.20,0.60,all
2021,1,6,12:30,0.20,0.20,0.60,all
2021,1,6,13:00,0.20,0.20,0.60,all
2021,1,6,13:30,0.20,0.20,0.60,all
2021,1,6,14:00,0.20,0.20,0.60,all
2021,1,6,14:30,0.20,0.20,0.60,all
2021,1,6,15:00,0.20,0.20,0.60,all
2021,1,6,15:30,0.20,0.20,0.60,all
2021,1,6,16:00,0.20,0.20,0.60,all
2021,1,6,16:30,0.20,0.20,0.60,all
2021,1,6,17:00,0.20,0.20,0.60,all
2021,1,6,17:30,0.20,0.20,0.60,all
2021,1,6,18:00,0.20,0.20,0.60,all
2021,1,6,18:30,0.20,0.20,0.60,all
2021,1,6,19:00,0.20,0.20,0.60,all
2021,1,6,19:30,0.20,0.20,0.60,all
2021,1,6,20:00,0.20,0.20,0.60,all
2021,1,6,20:30,0.20,0.20,0.60,all
2021,1,6,21:00,0.20,0.20,0.60,all
2021,1,6,21:30,0.20,0.20,0.60,all
2021,1,6,22:00,0.20,0.20,0.60,all
2021,1,6,22:30,0.20,0.20,0.60,all
2021,1,6,23:00,0.20,0.20,0.60,all
2021,1,6,23:30,0.20,0.20,0.60,all
2021,1,7,0:00,0.20,0.20,0.60,all
2021,1,7,0:30,0.20,0.20,0.60,all
2021,1,7,1:00,0.20,0.20,0.60,all
2021,1,7,1:30,0.20,0.20,0.60,all
2021,1,7,2:00,0.20,0.20,0.60,all
2021,1,7,2:30,0.20,0.20,0.60,all
2021,1,7,3:00,0.20,0.20,0.60,all
2021,1,7,3:30,0.20,0.20,0.60,all
2021,1,7,4:00,0.20,0.20,0.60,all
2021,1,7,4:30,0.20,0.20,0.60,all
2021,1,7,5:00,0.20,0.20,0.60,all
2021,1,7,5:30,0.20,0.20,0.60,all
2021,1,7,6:00,0.20,0.20,0.60,all
2021,1,7,6:30,0.20,0.20,0.60,all
2021,1,7,7:00,0.20,0.20,0.60,all
2021,1,7,7:30,0.20,0.20,0.60,all
2021,1,7,8:00,0.20,0.20,0.60,all
2021,1,7,8:30,0.20,0.20,0.60,all
2021,1,7,9:00,0.20,0.20,0.60,all
2021,1,7,9:30,0.20,0.20,0.60,all
2021,1,7,10:00,0.20,0.20,0.60,all
2021,1,7,10:30,0.20,0.20,0.60,all
2021,1,7,11:00,0.20,0.20,0.60,all
2021,1,7,11:30,0.20,0.20,0.60,all
2021,1,7,12:00,0.20,0.20,0.60,all
2021,1,7,12:30,0.20,0.20,0.60,all
2021,1,7,13:00,0.20,0.20,0.60,all
2021,1,7,13:30,0.20,0.20,0.60,all
2021,1,7,14:00,0.20,0.20,0.60,all
2021,1,7,14:30,0.20,0.20,0.60,all
2021,1,7,15:00,0.20,0.20,0.60,all
2021,1,7,15:30,0.20,0.20,0.60,all
2021,1,7,16:00,0.20,0.20,0.60,all
2021,1,7,16:30,0.20,0.20,0.60,all
2021,1,7,17:00,0.20,0.20,0.60,all
2021,1,7,17:30,0.20,0.20,0.60,all
2021,1,7,18:00,0.20,0.20,0.60,all
2021,1,7,18:30,0.20,0.20,0.60,all
2021,1,7,19:00,0.20,0.20,0.60,all
2021,1,7,19:30,0.20,0.20,0.60,all
2021,1,7,20:00,0.20,0.20,0.60,all
2021,1,7,20:30,0.20,0.20,0.60,all
2021,1,7,21:00,0.20,0.20,0.60,all
2021,1,7,21:30,0.20,0.20,0.60,all
2021,1,7,22:00,0.20,0.20,0.60,all
2021,1,7,22:30,0.20,0.20,0.60,all
2021,1,7,23:00,0.20,0.20,0.60,all
2021,1,7,23:30,0.20,0.20,0.60,all