hour,traffic_type_n_s,traffic_type_e_w,traffic_type
0:00,Very Low,Very Low,0
0:30,Very Low,Very Low,0
1:00,Very Low,Very Low,0
1:30,Very Low,Very Low,0
2:00,Very Low,Very Low,0
2:30,Very Low,Very Low,0
3:00,Very Low,Very Low,0
3:30,Very Low,Very Low,0
4:00,Very Low,Very Low,0
4:30,Very Low,Very Low,0
5:00,Very Low,Very Low,0
5:30,Very Low,Very Low,0
6:00,Low,Very Low,2
6:30,Low,Very Low,2
7:00,Med,Low,6
7:30,Med,Low,6
8:00,High,Med,10
8:30,High,Med,10
9:00,High,Med,10
9:30,High,Low,9
10:00,Med,Low,6
10:30,Med,Low,6
11:00,Med,Low,6
11:30,Med,Low,6
12:00,Med,Low,6
12:30,Med,Med,7
13:00,Med,Med,7
13:30,High,High,11
14:00,High,Med,10
14:30,High,Med,10
15:00,High,Med,10
15:30,Med,Low,6
16:00,Low,Low,3
16:30,Low,Low,3
17:00,Med,Low,6
17:30,Med,Low,6
18:00,Med,Low,6
18:30,Low,Low,3
19:00,Low,Low,3
19:30,Low,Low,3
20:00,High,Med,10
20:30,High,Med,10
21:00,Med,Low,6
21:30,Med,Low,6
22:00,Med,Low,6
22:30,Low,Low,3
23:00,Low,Very Low,2
23:30,Very Low,Very Low,0